Energy virulence model		dt	E_lower	 E_upper									
m	5997	0.01	0.5	0.9									
													
			smooth_step parameter										
			step_time	1.5									
													
				"E (Energy) series is fixed here, ie not calculated "									
k	t	E_lower (lhs)	E_upper (lhs)	E (lhs)	Step-Virulence (rhs)	Smooth-Step_Virulence (rhs)	E_lower<E<E_upper	E<E_lower	from below	t_last_switch	smoothstep		
78	0.78	0.5	0.9	0.983	0	0	0	0	0	-10.000	1.000		
79	0.79	0.5	0.9	0.9815	0	0	0	0	0	-10.000	1.000		
80	0.8	0.5	0.9	0.98	0	0	0	0	0	-10.000	1.000		
81	0.81	0.5	0.9	0.9785	0	0	0	0	0	-10.000	1.000		
82	0.82	0.5	0.9	0.977	0	0	0	0	0	-10.000	1.000		
83	0.83	0.5	0.9	0.9755	0	0	0	0	0	-10.000	1.000		
84	0.84	0.5	0.9	0.974	0	0	0	0	0	-10.000	1.000		
85	0.85	0.5	0.9	0.9725	0	0	0	0	0	-10.000	1.000		
86	0.86	0.5	0.9	0.971	0	0	0	0	0	-10.000	1.000		
87	0.87	0.5	0.9	0.9695	0	0	0	0	0	-10.000	1.000		
88	0.88	0.5	0.9	0.968	0	0	0	0	0	-10.000	1.000		
89	0.89	0.5	0.9	0.9665	0	0	0	0	0	-10.000	1.000		
90	0.9	0.5	0.9	0.965	0	0	0	0	0	-10.000	1.000		
91	0.91	0.5	0.9	0.9635	0	0	0	0	0	-10.000	1.000		
92	0.92	0.5	0.9	0.962	0	0	0	0	0	-10.000	1.000		
93	0.93	0.5	0.9	0.9605	0	0	0	0	0	-10.000	1.000		
94	0.94	0.5	0.9	0.959	0	0	0	0	0	-10.000	1.000		
95	0.95	0.5	0.9	0.9575	0	0	0	0	0	-10.000	1.000		
96	0.96	0.5	0.9	0.956	0	0	0	0	0	-10.000	1.000		
97	0.97	0.5	0.9	0.9545	0	0	0	0	0	-10.000	1.000		
98	0.98	0.5	0.9	0.953	0	0	0	0	0	-10.000	1.000		
99	0.99	0.5	0.9	0.9515	0	0	0	0	0	-10.000	1.000		
100	1	0.5	0.9	0.95	0	0	0	0	0	-10.000	1.000		
101	1.01	0.5	0.9	0.9485	0	0	0	0	0	-10.000	1.000		
102	1.02	0.5	0.9	0.947	0	0	0	0	0	-10.000	1.000		
103	1.03	0.5	0.9	0.9455	0	0	0	0	0	-10.000	1.000		
104	1.04	0.5	0.9	0.944	0	0	0	0	0	-10.000	1.000		
105	1.05	0.5	0.9	0.9425	0	0	0	0	0	-10.000	1.000		
106	1.06	0.5	0.9	0.941	0	0	0	0	0	-10.000	1.000		
107	1.07	0.5	0.9	0.9395	0	0	0	0	0	-10.000	1.000		
108	1.08	0.5	0.9	0.938	0	0	0	0	0	-10.000	1.000		
109	1.09	0.5	0.9	0.9365	0	0	0	0	0	-10.000	1.000		
110	1.1	0.5	0.9	0.935	0	0	0	0	0	-10.000	1.000		
111	1.11	0.5	0.9	0.9335	0	0	0	0	0	-10.000	1.000		
112	1.12	0.5	0.9	0.932	0	0	0	0	0	-10.000	1.000		
113	1.13	0.5	0.9	0.9305	0	0	0	0	0	-10.000	1.000		
114	1.14	0.5	0.9	0.929	0	0	0	0	0	-10.000	1.000		
115	1.15	0.5	0.9	0.9275	0	0	0	0	0	-10.000	1.000		
116	1.16	0.5	0.9	0.926	0	0	0	0	0	-10.000	1.000		
117	1.17	0.5	0.9	0.9245	0	0	0	0	0	-10.000	1.000		
118	1.18	0.5	0.9	0.923	0	0	0	0	0	-10.000	1.000		
119	1.19	0.5	0.9	0.9215	0	0	0	0	0	-10.000	1.000		
120	1.2	0.5	0.9	0.92	0	0	0	0	0	-10.000	1.000		
121	1.21	0.5	0.9	0.9185	0	0	0	0	0	-10.000	1.000		
122	1.22	0.5	0.9	0.917	0	0	0	0	0	-10.000	1.000		
123	1.23	0.5	0.9	0.9155	0	0	0	0	0	-10.000	1.000		
124	1.24	0.5	0.9	0.914	0	0	0	0	0	-10.000	1.000		
125	1.25	0.5	0.9	0.9125	0	0	0	0	0	-10.000	1.000		
126	1.26	0.5	0.9	0.911	0	0	0	0	0	-10.000	1.000		
127	1.27	0.5	0.9	0.9095	0	0	0	0	0	-10.000	1.000		
128	1.28	0.5	0.9	0.908	0	0	0	0	0	-10.000	1.000		
129	1.29	0.5	0.9	0.9065	0	0	0	0	0	-10.000	1.000		
130	1.3	0.5	0.9	0.905	0	0	0	0	0	-10.000	1.000		
131	1.31	0.5	0.9	0.9035	0	0	0	0	0	-10.000	1.000		
132	1.32	0.5	0.9	0.902	0	0	0	0	0	-10.000	1.000		
133	1.33	0.5	0.9	0.9005	0	0	0	0	0	-10.000	1.000		
134	1.34	0.5	0.9	0.899	0	0	1	0	0	-10.000	1.000		
135	1.35	0.5	0.9	0.8975	0	0	1	0	0	-10.000	1.000		
136	1.36	0.5	0.9	0.896	0	0	1	0	0	-10.000	1.000		
137	1.37	0.5	0.9	0.8945	0	0	1	0	0	-10.000	1.000		
138	1.38	0.5	0.9	0.893	0	0	1	0	0	-10.000	1.000		
139	1.39	0.5	0.9	0.8915	0	0	1	0	0	-10.000	1.000		
140	1.4	0.5	0.9	0.89	0	0	1	0	0	-10.000	1.000		
141	1.41	0.5	0.9	0.8885	0	0	1	0	0	-10.000	1.000		
142	1.42	0.5	0.9	0.887	0	0	1	0	0	-10.000	1.000		
143	1.43	0.5	0.9	0.8855	0	0	1	0	0	-10.000	1.000		
144	1.44	0.5	0.9	0.884	0	0	1	0	0	-10.000	1.000		
145	1.45	0.5	0.9	0.8825	0	0	1	0	0	-10.000	1.000		
146	1.46	0.5	0.9	0.881	0	0	1	0	0	-10.000	1.000		
147	1.47	0.5	0.9	0.8795	0	0	1	0	0	-10.000	1.000		
148	1.48	0.5	0.9	0.878	0	0	1	0	0	-10.000	1.000		
149	1.49	0.5	0.9	0.8765	0	0	1	0	0	-10.000	1.000		
150	1.5	0.5	0.9	0.875	0	0	1	0	0	-10.000	1.000		
151	1.51	0.5	0.9	0.8735	0	0	1	0	0	-10.000	1.000		
152	1.52	0.5	0.9	0.872	0	0	1	0	0	-10.000	1.000		
153	1.53	0.5	0.9	0.8705	0	0	1	0	0	-10.000	1.000		
154	1.54	0.5	0.9	0.869	0	0	1	0	0	-10.000	1.000		
155	1.55	0.5	0.9	0.8675	0	0	1	0	0	-10.000	1.000		
156	1.56	0.5	0.9	0.866	0	0	1	0	0	-10.000	1.000		
157	1.57	0.5	0.9	0.8645	0	0	1	0	0	-10.000	1.000		
158	1.58	0.5	0.9	0.863	0	0	1	0	0	-10.000	1.000		
159	1.59	0.5	0.9	0.8615	0	0	1	0	0	-10.000	1.000		
160	1.6	0.5	0.9	0.86	0	0	1	0	0	-10.000	1.000		
161	1.61	0.5	0.9	0.8585	0	0	1	0	0	-10.000	1.000		
162	1.62	0.5	0.9	0.857	0	0	1	0	0	-10.000	1.000		
163	1.63	0.5	0.9	0.8555	0	0	1	0	0	-10.000	1.000		
164	1.64	0.5	0.9	0.854	0	0	1	0	0	-10.000	1.000		
165	1.65	0.5	0.9	0.8525	0	0	1	0	0	-10.000	1.000		
166	1.66	0.5	0.9	0.851	0	0	1	0	0	-10.000	1.000		
167	1.67	0.5	0.9	0.8495	0	0	1	0	0	-10.000	1.000		
168	1.68	0.5	0.9	0.848	0	0	1	0	0	-10.000	1.000		
169	1.69	0.5	0.9	0.8465	0	0	1	0	0	-10.000	1.000		
170	1.7	0.5	0.9	0.845	0	0	1	0	0	-10.000	1.000		
171	1.71	0.5	0.9	0.8435	0	0	1	0	0	-10.000	1.000		
172	1.72	0.5	0.9	0.842	0	0	1	0	0	-10.000	1.000		
173	1.73	0.5	0.9	0.8405	0	0	1	0	0	-10.000	1.000		
174	1.74	0.5	0.9	0.839	0	0	1	0	0	-10.000	1.000		
175	1.75	0.5	0.9	0.8375	0	0	1	0	0	-10.000	1.000		
176	1.76	0.5	0.9	0.836	0	0	1	0	0	-10.000	1.000		
177	1.77	0.5	0.9	0.8345	0	0	1	0	0	-10.000	1.000		
178	1.78	0.5	0.9	0.833	0	0	1	0	0	-10.000	1.000		
179	1.79	0.5	0.9	0.8315	0	0	1	0	0	-10.000	1.000		
180	1.8	0.5	0.9	0.83	0	0	1	0	0	-10.000	1.000		
181	1.81	0.5	0.9	0.8285	0	0	1	0	0	-10.000	1.000		
182	1.82	0.5	0.9	0.827	0	0	1	0	0	-10.000	1.000		
183	1.83	0.5	0.9	0.8255	0	0	1	0	0	-10.000	1.000		
184	1.84	0.5	0.9	0.824	0	0	1	0	0	-10.000	1.000		
185	1.85	0.5	0.9	0.8225	0	0	1	0	0	-10.000	1.000		
186	1.86	0.5	0.9	0.821	0	0	1	0	0	-10.000	1.000		
187	1.87	0.5	0.9	0.8195	0	0	1	0	0	-10.000	1.000		
188	1.88	0.5	0.9	0.818	0	0	1	0	0	-10.000	1.000		
189	1.89	0.5	0.9	0.8165	0	0	1	0	0	-10.000	1.000		
190	1.9	0.5	0.9	0.815	0	0	1	0	0	-10.000	1.000		
191	1.91	0.5	0.9	0.8135	0	0	1	0	0	-10.000	1.000		
192	1.92	0.5	0.9	0.812	0	0	1	0	0	-10.000	1.000		
193	1.93	0.5	0.9	0.8105	0	0	1	0	0	-10.000	1.000		
194	1.94	0.5	0.9	0.809	0	0	1	0	0	-10.000	1.000		
195	1.95	0.5	0.9	0.8075	0	0	1	0	0	-10.000	1.000		
196	1.96	0.5	0.9	0.806	0	0	1	0	0	-10.000	1.000		
197	1.97	0.5	0.9	0.8045	0	0	1	0	0	-10.000	1.000		
198	1.98	0.5	0.9	0.803	0	0	1	0	0	-10.000	1.000		
199	1.99	0.5	0.9	0.8015	0	0	1	0	0	-10.000	1.000		
200	2	0.5	0.9	0.8	0	0	1	0	0	-10.000	1.000		
201	2.01	0.5	0.9	0.7985	0	0	1	0	0	-10.000	1.000		
202	2.02	0.5	0.9	0.797	0	0	1	0	0	-10.000	1.000		
203	2.03	0.5	0.9	0.7955	0	0	1	0	0	-10.000	1.000		
204	2.04	0.5	0.9	0.794	0	0	1	0	0	-10.000	1.000		
205	2.05	0.5	0.9	0.7925	0	0	1	0	0	-10.000	1.000		
206	2.06	0.5	0.9	0.791	0	0	1	0	0	-10.000	1.000		
207	2.07	0.5	0.9	0.7895	0	0	1	0	0	-10.000	1.000		
208	2.08	0.5	0.9	0.788	0	0	1	0	0	-10.000	1.000		
209	2.09	0.5	0.9	0.7865	0	0	1	0	0	-10.000	1.000		
210	2.1	0.5	0.9	0.785	0	0	1	0	0	-10.000	1.000		
211	2.11	0.5	0.9	0.7835	0	0	1	0	0	-10.000	1.000		
212	2.12	0.5	0.9	0.782	0	0	1	0	0	-10.000	1.000		
213	2.13	0.5	0.9	0.7805	0	0	1	0	0	-10.000	1.000		
214	2.14	0.5	0.9	0.779	0	0	1	0	0	-10.000	1.000		
215	2.15	0.5	0.9	0.7775	0	0	1	0	0	-10.000	1.000		
216	2.16	0.5	0.9	0.776	0	0	1	0	0	-10.000	1.000		
217	2.17	0.5	0.9	0.7745	0	0	1	0	0	-10.000	1.000		
218	2.18	0.5	0.9	0.773	0	0	1	0	0	-10.000	1.000		
219	2.19	0.5	0.9	0.7715	0	0	1	0	0	-10.000	1.000		
220	2.2	0.5	0.9	0.77	0	0	1	0	0	-10.000	1.000		
221	2.21	0.5	0.9	0.7685	0	0	1	0	0	-10.000	1.000		
222	2.22	0.5	0.9	0.767	0	0	1	0	0	-10.000	1.000		
223	2.23	0.5	0.9	0.7655	0	0	1	0	0	-10.000	1.000		
224	2.24	0.5	0.9	0.764	0	0	1	0	0	-10.000	1.000		
225	2.25	0.5	0.9	0.7625	0	0	1	0	0	-10.000	1.000		
